,index,color
0,125,red
1,149,red
2,178,red
3,380,red
4,418,red
5,556,red
6,592,red
7,594,red
8,623,red
9,764,red
10,767,red
11,878,red
12,882,red
13,885,red
14,905,red
15,1285,red
16,1317,red
17,1370,red
18,1373,red
19,1396,red
20,1515,red
21,1523,red
22,1548,red
23,1553,red
24,1562,red
25,1649,red
26,1801,red
27,1835,red
28,1855,red
29,1872,red
30,1926,red
31,1930,red
32,1935,red
33,1945,red
34,1959,red
35,1977,red
36,2013,red
37,2022,red
38,2032,red
39,2036,red
40,2101,red
41,2105,red
42,2107,red
43,2136,red
44,2171,red
45,2194,red
46,2215,red
47,2221,red
48,2256,red
49,2261,red
50,2340,red
51,2344,red
52,2352,red
53,2353,red
54,2367,red
55,2373,red
56,2380,red
57,2395,red
58,2398,red
59,2400,red
60,2403,red
61,2404,red
62,2405,red
63,2461,red
64,2463,red
65,2468,red
66,2472,red
67,2488,red
68,2489,red
69,2501,red
70,2530,red
71,2546,red
72,2571,red
73,2587,red
74,2617,red
75,2654,red
76,2673,red
77,2696,red
78,2698,red
79,2755,red
80,2771,red
81,2799,red
82,2848,red
83,2854,red
84,2856,red
85,2882,red
86,2893,red
87,2905,red
88,2913,red
89,2915,red
90,2918,red
91,2976,red
92,2977,red
93,3016,red
94,3028,red
95,3032,red
96,3061,red
97,3075,red
98,3110,red
99,3145,red
100,3154,red
101,3182,red
102,3191,red
103,3217,red
104,3251,red
105,3266,red
106,3302,red
107,3339,red
108,3368,red
109,3383,red
110,3409,red
111,3431,red
112,3443,red
113,3470,red
114,3558,red
115,3580,red
116,3590,red
117,3617,red
118,3631,red
119,3685,red
120,3723,red
121,3953,red
122,4019,red
123,4243,red
124,4258,red
125,4433,red
126,4458,red
127,4732,red
128,4772,red
129,4844,red
130,4854,red
131,4859,red
132,4907,red
133,4917,red
134,5027,red
135,5194,red
136,5202,red
137,5665,yellow
138,5699,yellow
139,5724,yellow
140,5739,yellow
141,7157,yellow
142,7158,yellow
143,7467,yellow
144,7943,yellow
145,7948,yellow
146,8007,yellow
147,9129,green
148,9130,green
149,9194,green
150,12783,blue
151,12791,blue
152,12792,blue
153,12796,blue
154,13195,blue
155,13198,blue
