# DATE-TIME,frame,no,ID,px,py,pz,subject
2017:11:16-14:30:43:842,45,1,,,,,
,,,1,-0.059954,-0.721794,1.770805,HUMAN
2017:11:16-14:30:43:912,46,2,,,,,
,,,1,0.013242,-0.685928,1.76093,HUMAN
,,,0,0.177892,-0.033739,0,NOISE
2017:11:16-14:30:43:982,47,2,,,,,
,,,1,0.085547,-0.64167,1.746266,HUMAN
,,,0,1.050505,-2.697245,1.657055,NOISE
2017:11:16-14:30:44:053,48,2,,,,,
,,,1,0.161294,-0.574927,1.735009,HUMAN
,,,0,1.047353,-2.678683,1.658962,NOISE
2017:11:16-14:30:44:126,49,2,,,,,
,,,1,0.21251,-0.511452,1.732272,HUMAN
,,,2,1.047832,-2.64042,1.665228,HUMAN
2017:11:16-14:30:44:198,50,2,,,,,
,,,1,0.258831,-0.452477,1.734118,HUMAN
,,,2,1.042518,-2.517689,1.677383,HUMAN
2017:11:16-14:30:44:267,51,2,,,,,
,,,1,0.317543,-0.4127,1.742728,HUMAN
,,,2,1.041986,-2.493994,1.68,HUMAN
2017:11:16-14:30:44:338,52,2,,,,,
,,,1,0.366948,-0.36459,1.747243,HUMAN
,,,2,1.042527,-2.459763,1.678267,HUMAN
2017:11:16-14:30:44:434,53,2,,,,,
,,,1,0.426583,-0.318404,1.749357,HUMAN
,,,2,1.047608,-2.399195,1.670161,HUMAN
2017:11:16-14:30:44:512,54,2,,,,,
,,,1,0.468169,-0.253935,1.745496,HUMAN
,,,2,1.048033,-2.340141,1.657921,HUMAN
2017:11:16-14:30:44:596,55,2,,,,,
,,,1,0.519222,-0.18925,1.7375,HUMAN
,,,2,1.055784,-2.266831,1.653132,HUMAN
2017:11:16-14:30:44:680,56,2,,,,,
,,,1,0.569731,-0.115025,1.731046,HUMAN
,,,2,1.064517,-2.197517,1.653979,HUMAN
2017:11:16-14:30:44:768,57,2,,,,,
,,,1,0.611566,-0.059993,1.739341,HUMAN
,,,2,1.0694,-2.118158,1.657586,HUMAN
